,,,,,,,,,
SignalName,SignalDescription,ObservableCondition,SignalPolarity,SignalSeverity,SignalType,SignalLevers,ZoneBias,TriggerInputConditions,TargetPatterns
Purpose,Human-readable explanation for user coaching context,Deterministic condition that activates the signal,Indicates whether signal is positive or negative,Defines structural impact on win probability,"Classifies signal as structural or momentum, risk or strength",Lists structural levers affected by the signal,Zones where the signal most commonly appears,Input fields required to evaluate the signal,Patterns the signal contributes to activating
Instructions,Single plain-language sentence; no advice or strategy,1–2 sentences; observable or missing evidence; use 'has not' logic,Allowed values: POSITIVE or NEGATIVE,"Allowed values: CRITICAL, HIGH, MEDIUM, LOW; highest severity dominates","Allowed: Structural Risk, Momentum Risk, Structural Strength, Momentum Strength",Comma-separated levers; use 1–2 by default; no primary/secondary labels,Comma-separated zone keys; list only structurally relevant zones,Comma-separated canonical input fields; keep list tight,Comma-separated patterns; keep causal and minimal
Problem Not Validated,"Pain is mentioned, but no specific problem with measurable business impact has been established",Buyer confirms pain or interest but has not described a specific problem with measurable impact or consequence,Negative,CRITICAL,Structural Risk,"Case for Change Strength, Buyer Urgency","Zone1, Zone2",Pain field populated AND Measurable Impact field empty OR user states no measurable business impact if problem is not solved,Weak Problem Definition
Outcomes Unclear or Misaligned,Buyer has not defined a clear future state or success outcome tied to the initiative,Buyer discusses features or capabilities but has not described desired future outcomes or success criteria,Negative,HIGH,Structural Risk,"Case for Change Strength, Buyer Urgency","Zone1, Zone2",Desired Outcomes field empty OR buyer discusses solution capabilities without defining future business outcomes,Outcome Misalignment
Buyer Objections Surfacing Early,Buyer raises objections before the case for change and differentiation are established,"Buyer raises objections about priority, approach, or price before desired outcomes or the case for change are validated",Negative,MEDIUM,Structural Risk,"Case for Change Strength, Differentiation Leverage","Zone1, Zone2","Buyer raises objection related to price, priority, or approach AND Desired Outcomes field empty AND Measurable Impact field empty","Messaging Disconnect, Weak Problem Definition"
No Differentiated Decision Criteria,Buyer’s evaluation criteria do not reflect your differentiated strengths,"Decision criteria are stated, but none uniquely favor your differentiated strengths or outcomes",Negative,MEDIUM,Structural Risk,"Differentiation Leverage, Buyer Consensus","Zone1, Zone2, Zone3",Competitive Landscape indicates multiple vendors AND Desired Outcomes field populated AND Measurable Impact field populated AND buyer language does not reference differentiated strengths,"Commodity Relegation, Competitive Mindshare"
No Named or Active Champion,"No stakeholder is actively advocating, coaching, or driving the deal internally","No stakeholder is providing internal insight, introducing others, or taking actions to advance the decision",Negative,CRITICAL,Structural Risk,"Champion Strength, Buyer Consensus","Zone1, Zone2, Zone3, Zone4",Champion Status field empty OR Champion Status indicates passive or neutral behavior,Champion Absence
Single-Threaded Contact,Engagement is limited to a single stakeholder with no consensus-building motion,Only one stakeholder is actively engaged in meetings or communications,Negative,HIGH,Structural Risk,"Buyer Consensus, Champion Strength","Zone1, Zone2, Zone3",Stakeholder Coverage = Single stakeholder,Single-Threaded Risk
Activity Without Progress,"Deal activity is occurring, but qualification, alignment, or stage advancement is not improving","Two or more interactions occur with no new stakeholders, no new qualification data, and no stage progression",Negative,MEDIUM,Momentum Risk,"Champion Strength, Buyer Urgency",Zone2,Recent Interaction Summary indicates multiple interactions AND Stakeholder Coverage = Single stakeholder AND Stage unchanged,Stagnant Deal
Competition Gaining Mindshare,"Competitor influence is shaping buyer thinking, language, or evaluation direction","Buyer references a competitor as the default or preferred option, or requests evaluation steps aligned to the competitor’s approach",Negative,HIGH,Structural Risk,"Differentiation Leverage, Buyer Consensus","Zone1, Zone2, Zone3, Zone4",Competitive Landscape indicates active competitor AND buyer language reflects competitor preference or evaluation alignment,"Competitive Mindshare, Commodity Relegation"
No EB Validation,"Economic Buyer is not known, engaged, or aligned to the initiative","Economic Buyer is not identified, and support from any economic authority is unknown",Negative,CRITICAL,Structural Risk,"Economic Buyer Commitment, Buyer Consensus","Zone2, Zone3, Zone4",Economic Buyer Identified = No OR Economic Buyer Engagement = None,EB Alignment Gap
Validation / Process Misalignment,Buyer’s preferred evaluation or decision steps do not align with your strengths,Buyer requests a validation or evaluation step that does not test the outcomes or capabilities your differentiation depends on,Negative,HIGH,Structural Risk,"Decision Process Alignment, Differentiation Leverage","Zone2, Zone3",Decision Process defined AND buyer requests evaluation steps not aligned to differentiated strengths,"Process Misalignment, Validation Disadvantage"
Slowdowns or Silence,Deal momentum drops as responsiveness and engagement decrease,"Buyer response time slows materially, meetings are cancelled or delayed, or no next steps are agreed after an interaction",Negative,MEDIUM,Momentum Risk,"Buyer Urgency, Champion Strength","Zone2, Zone3, Zone4",Recent Interaction Summary indicates delayed responses OR no upcoming meeting or next step recorded,Momentum Loss
New Stakeholder Appears Late,"A new stakeholder enters late and reopens scope, priorities, or requirements","A new stakeholder is introduced after evaluation or validation has begun and introduces new requirements, objections, or decision criteria",Negative,MEDIUM,Structural Risk,"Buyer Consensus, Decision Process Alignment","Zone3, Zone4",Stage >= Mid AND Recent Interaction Summary indicates new stakeholder introduction,Late Stakeholder Risk
Conflict in Pricing or Terms,Commercial objections indicate weak value alignment or Economic Buyer commitment,"Buyer challenges pricing or terms without confirming value metrics, success outcomes, or consensus sponsorship",Negative,MEDIUM,Structural Risk,"Economic Buyer Commitment, Differentiation Leverage","Zone3, Zone4",Commercial Awareness = Discussed AND Measurable Impact field empty AND Desired Outcomes field empty,Commercial Misalignment
Adoption Without Internal Ownership,Product usage is present but no individual is responsible for driving evaluation or expansion,"Product usage is present, but no internal owner has been identified",Negative,HIGH,Structural Risk,"Champion Strength, Buyer Consensus","Zone1, Zone2",Product Usage Presence not None AND Internal Owner Identified = No,"Champion Absence, Single-Threaded Risk"
Adoption Without Decision Formation,Product usage is present but has not formed into a structured buying process or initiative,"Product usage is present, but no decision process, stakeholders, or commercial steps have been defined",Negative,CRITICAL,Structural Risk,"Decision Process Alignment, Buyer Urgency","Zone1, Zone2",Product Usage Presence not None AND Internal Owner Identified = Yes AND Commercial Awareness = None AND Decision Process empty,"Stagnant Deal, Process Misalignment"
Adoption With Negative User Experience,Product usage exists but is not delivering meaningful value to the user or business,Users are not relying on the product in their workflows or would not be impacted if it were removed,Negative,HIGH,Momentum Risk,"Case for Change Strength, Differentiation Leverage","Zone1, Zone2, Zone3",Product Usage Presence not None AND (Usage Trend = Declining OR Workflow Dependency = None OR Removal Impact = No impact),"Weak Problem Definition, Competitive Mindshare, Momentum Loss"
Champion Coaching & Influence,Champion actively coaches the seller and drives internal alignment,"A stakeholder shares internal dynamics, introduces additional stakeholders, or guides next steps to advance the decision",Positive,HIGH,Structural Strength,"Champion Strength, Buyer Consensus","Zone2, Zone3, Zone4",Champion Status indicates active advocacy AND Recent Interaction Summary reflects stakeholder introductions or internal guidance,"High Champion Advocacy, Consensus Expansion Momentum"
Economic Buyer Engagement,Economic Buyer is directly engaged and aligned with the initiative,Economic Buyer participates directly in meetings or validates the initiative direction,Positive,HIGH,Structural Strength,"Economic Buyer Commitment, Buyer Consensus","Zone2, Zone3, Zone4",Economic Buyer Identified = Yes AND Economic Buyer Engagement = Direct,"EB Sponsorship Motion, EB Alignment Gap"
Multi-Threading Momentum,New stakeholders are being introduced and consensus is expanding,"Additional stakeholders are introduced and engage in problem, outcome, or decision discussions",Positive,HIGH,Momentum Strength,"Buyer Consensus, Champion Strength","Zone2, Zone3, Zone4",Stakeholder Coverage = Multiple stakeholders OR Stakeholder Coverage = Cross-functional,Consensus Expansion Momentum
Differentiated Validation Momentum,Buyer shapes evaluation steps around your strengths and acknowledges competitor weaknesses,Buyer proposes or accepts validation steps that highlight your differentiated capabilities,Positive,HIGH,Structural Strength,"Differentiation Leverage, Case for Change Strength","Zone2, Zone3",Decision Process defined AND Desired Outcomes field populated AND Measurable Impact field populated AND buyer validation aligns to differentiated strengths,"Validation Advantage, Validation Disadvantage"
Responsiveness Velocity,"Buyer engagement accelerates, indicating growing urgency or alignment","Buyer initiates next steps, responds quickly, or increases meeting cadence",Positive,MEDIUM,Momentum Strength,"Buyer Urgency, Champion Strength","Zone1, Zone2, Zone3, Zone4",Recent Interaction Summary indicates rapid responses OR increased interaction frequency OR buyer-initiated next steps,High Responsiveness Momentum
Usage Demonstrates Material Value,Product usage is delivering meaningful operational or business value to the user or organization,The product is relied on in workflows or its removal would negatively impact the business,Positive,HIGH,Structural Strength,Case for Change Strength,"Zone1, Zone2",Product Usage Presence not None AND (Workflow Dependency = Critical OR Removal Impact = Significant disruption),"Adoption Converting to Decision, Strong Case for Change"
Adoption Conversion Momentum,"Product usage is beginning to translate into ownership, stakeholder alignment, and a structured buying process","Product usage is present, an internal owner is driving the initiative, and commercial or decision steps are forming",Positive,HIGH,Structural Strength,"Champion Strength, Decision Process Alignment","Zone1, Zone2",Product Usage Presence not None AND Internal Owner Identified = Yes AND Commercial Awareness not None AND Decision Process defined,Adoption Converting to Decision